Kosten pro,Stunde,Tag,Woche,"Monat (30,5 Tage)",Jahr
Google Cloud,,,,,
ARM,_-* 0.17 €_-,_-* 4.14 €_-,_-* 28.98 €_-,_-* 126.27 €_-,_-* 1511.10 €_-
x64,_-* 0.19 €_-,_-* 4.56 €_-,_-* 31.89 €_-,_-* 138.93 €_-,_-* 1662.65 €_-
ARM vs x64,_-* -0.02 €_-,_-* -0.42 €_-,_-* -2.91 €_-,_-* -12.66 €_-,_-* -151.55 €_-
Azure,,,,,
ARM,_-* 0.11 €_-,_-* 2.74 €_-,_-* 19.15 €_-,_-* 83.45 €_-,_-* 998.64 €_-
x64,_-* 0.13 €_-,_-* 3.07 €_-,_-* 21.50 €_-,_-* 93.70 €_-,_-* 1121.28 €_-
ARM vs x64,_-* -0.01 €_-,_-* -0.34 €_-,_-* -2.35 €_-,_-* -10.25 €_-,_-* -122.64 €_-
AWS,,,,,
ARM,_-* 0.16 €_-,_-* 3.76 €_-,_-* 26.33 €_-,_-* 114.70 €_-,_-* 1372.69 €_-
x64,_-* 0.19 €_-,_-* 4.65 €_-,_-* 32.52 €_-,_-* 141.72 €_-,_-* 1695.94 €_-
ARM vs x64,_-* -0.04 €_-,_-* -0.89 €_-,_-* -6.20 €_-,_-* -27.01 €_-,_-* -323.24 €_-
