Metrics;Run 1;Run 2;Run 3;Run 4;AVG;Unit;Test
Coremark Score;97179.36882;24306.652731;97195.898333;24296.022741;60744.48565625;;coremark
lscpu;0;0;;;0;;coremark
proccpu;0;0;;;0;;coremark
proccpu_mapping;0;0;;;0;;coremark
cpu_vuln;0;0;;;0;;coremark
gcc_version;0;0;;;0;;coremark
glibc_version;0;0;;;0;;coremark
End to End Runtime;271.6712749004364;338.24425077438354;;;304.95776283741;;coremark
Composite Score;2029.886013497039;2794.29;2177.43391438053;2308.31;2029.5600689659666;2795.82;2190.3112049480724;2305.7;2328.913900223951;;scimark2
FFT (1024);1800.506467096774;1799.1135952174043;;;1799.8100311570893;;scimark2
SOR (100x100);1531.152195998912;1529.3293830038265;;;1530.2407895013694;;scimark2
Monte Carlo;1485.120109089031;1485.6337764885623;1483.5811137468268;1456.4148756287682;1477.687468738297;;scimark2
Sparse matmult (N=1000, nz=5000);1682.0275350518132;1946.57;1681.4881169612106;1949.93;1815.003913003256;;scimark2
LU (100x100);3650.623760248665;3654.2881359005646;;;3652.4559480746148;;scimark2
FFT (N=1024);2203;2204.97;;;2203.9849999999997;;scimark2
SOR (100 x 100);2151.85;2151.98;;;2151.915;;scimark2
MonteCarlo;457.07;457.38;457.54;456.96;457.2375;;scimark2
LU (M=100, N=100);7212.94;7214.69;;;7213.815;;scimark2
FFT (1048576);555.2483499248962;659.959686385765;;;607.6040181553306;;scimark2
SOR (1000x1000);1410.887682814639;1410.8878376153102;;;1410.8877602149746;;scimark2
Sparse matmult (N=100000, nz=1000000);1860.9723062897767;2492.16;1854.2325916130628;2493.68;2175.2612244757097;;scimark2
LU (1000x1000);5574.427456384776;5570.061033497457;;;5572.244244941116;;scimark2
FFT (N=1048576);736.41;729.64;;;733.025;;scimark2
SOR (1000 x 1000);1959.56;1959.9;;;1959.73;;scimark2
LU (M=1000, N=1000);5896.06;5888.33;;;5892.195;;scimark2
lscpu;0;0;;;0;;scimark2
proccpu;0;0;;;0;;scimark2
proccpu_mapping;0;0;;;0;;scimark2
cpu_vuln;0;0;;;0;;scimark2
gcc_version;0;0;;;0;;scimark2
glibc_version;0;0;;;0;;scimark2
End to End Runtime;284.90285778045654;295.1872854232788;;;290.0450716018677;;scimark2
