Metrics;Run 1;Run 2;Run 3;Run 4;AVG;Unit;Test
Coremark Score;88278.784401;22073.106127;88274.888001;22099.447514;55181.55651075;;coremark
lscpu;0;0;;;0;;coremark
proccpu;0;0;;;0;;coremark
proccpu_mapping;0;0;;;0;;coremark
cpu_vuln;0;0;;;0;;coremark
gcc_version;0;0;;;0;;coremark
glibc_version;0;0;;;0;;coremark
End to End Runtime;642.3796269893646;644.1272993087769;;;643.2534631490707;;coremark
Composite Score;1852.8980685891597;2360.44;1719.290412391645;1784.76;1851.489195066817;2357.54;1690.812664561798;1756.7;1921.7412925761776;;scimark2
FFT (1024);1252.146899957658;1252.146899957658;;;1252.146899957658;;scimark2
SOR (100x100);1770.2847657155694;1770.2847657155694;;;1770.2847657155694;;scimark2
Monte Carlo;918.513179076534;918.120419092873;917.7279948571884;918.120419092873;918.120503029867;;scimark2
Sparse matmult (N=1000, nz=5000);1186.1719252267565;2278.47;1186.1719252267565;2270.25;1730.2659626133782;;scimark2
LU (100x100);4137.373572969282;4131.114389576912;;;4134.243981273097;;scimark2
FFT (N=1024);1684.99;1684.68;;;1684.835;;scimark2
SOR (100 x 100);2224.3;2224.37;;;2224.335;;scimark2
MonteCarlo;476.41;474.33;474.11;473.35;474.54999999999995;;scimark2
LU (M=100, N=100);5138.05;5134.28;;;5136.165;;scimark2
FFT (1048576);380.2834275555556;364.25616021164825;;;372.2697938836019;;scimark2
SOR (1000x1000);1699.949641807091;1699.0075364616778;;;1699.4785891343845;;scimark2
Sparse matmult (N=100000, nz=1000000);1297.0233377647376;1890.36;1289.6725928749624;1908.37;1596.356482659925;;scimark2
LU (1000x1000);4301.07523573797;4183.006614167829;;;4242.040924952899;;scimark2
FFT (N=1048576);492.86;454.79;;;473.82500000000005;;scimark2
SOR (1000 x 1000);2123.71;2122.28;;;2122.995;;scimark2
LU (M=1000, N=1000);3942.53;3824.72;;;3883.625;;scimark2
lscpu;0;0;;;0;;scimark2
proccpu;0;0;;;0;;scimark2
proccpu_mapping;0;0;;;0;;scimark2
cpu_vuln;0;0;;;0;;scimark2
gcc_version;0;0;;;0;;scimark2
glibc_version;0;0;;;0;;scimark2
End to End Runtime;705.4961633682251;699.1835486888885;;;702.3398560285568;;scimark2
