Metrics;Run 1;Run 2;Run 3;Run 4;AVG;Unit;Test
Coremark Score;74752.382732;27132.624267;74642.18403;27095.131005;50905.5805085;;coremark
lscpu;0;0;;;0;;coremark
proccpu;0;0;;;0;;coremark
proccpu_mapping;0;0;;;0;;coremark
cpu_vuln;0;0;;;0;;coremark
gcc_version;0;0;;;0;;coremark
glibc_version;0;0;;;0;;coremark
End to End Runtime;659.22185754776;631.3657586574554;;;645.2938081026077;;coremark
Composite Score;2650.128392388461;3611.45;3232.8066375689978;2915.07;2644.2204644213152;3628.74;3082.8304095545054;2948.73;3089.24698799166;;scimark2
FFT (1024);1938.5836633427782;1931.071758001275;;;1934.8277106720266;;scimark2
SOR (100x100);1522.6826577998256;1521.480468854313;;;1522.0815633270693;;scimark2
Monte Carlo;1392.2098032062918;1392.6612003680787;1374.8294482565286;1375.2697484895373;1383.7425500801091;;scimark2
Sparse matmult (N=1000, nz=5000);2260.8365619074552;3286.78;2260.8365619074552;3285.01;2773.3657809537276;;scimark2
LU (100x100);6136.3292756859555;6132.8840850870065;;;6134.6066803864815;;scimark2
FFT (N=1024);3078.94;3174.75;;;3126.8450000000003;;scimark2
SOR (100 x 100);2314.78;2316.6;;;2315.69;;scimark2
MonteCarlo;640.42;640.5;640.4;640.25;640.3925;;scimark2
LU (M=100, N=100);8736.34;8726.94;;;8731.64;;scimark2
FFT (1048576);268.0569146644858;267.38678101562647;;;267.72184784005617;;scimark2
SOR (1000x1000);1367.4660709881064;1367.4660709881064;;;1367.4660709881064;;scimark2
Sparse matmult (N=100000, nz=1000000);2923.626182446044;3493.32;2926.759780358464;3497.97;3210.418990701127;;scimark2
LU (1000x1000);10212.222819378274;9477.269666920794;;;9844.746243149533;;scimark2
FFT (N=1048576);251.67;251.32;;;251.495;;scimark2
SOR (1000 x 1000);1957.63;1958.32;;;1957.975;;scimark2
LU (M=1000, N=1000);8232.26;8395.8;;;8314.029999999999;;scimark2
lscpu;0;0;;;0;;scimark2
proccpu;0;0;;;0;;scimark2
proccpu_mapping;0;0;;;0;;scimark2
cpu_vuln;0;0;;;0;;scimark2
gcc_version;0;0;;;0;;scimark2
glibc_version;0;0;;;0;;scimark2
End to End Runtime;688.3390710353851;780.1466200351715;;;734.2428455352783;;scimark2
