Metrics;Run 1;Run 2;Run 3;Run 4;AVG;Unit;Test
Coremark Score;86492.096785;28814.291889;87923.682244;29066.387629;58074.114636750004;;coremark
lscpu;0;0;;;0;;coremark
proccpu;0;0;;;0;;coremark
proccpu_mapping;0;0;;;0;;coremark
cpu_vuln;0;0;;;0;;coremark
gcc_version;0;0;;;0;;coremark
glibc_version;0;0;;;0;;coremark
End to End Runtime;435.9614894390106;445.1139328479767;;;440.53771114349365;;coremark
Composite Score;3181.7910884486882;4169.31;3040.3274932555664;3194.85;2731.9077117333336;3739.11;2678.3568993378267;2765.76;3187.6766490969276;;scimark2
FFT (1024);2298.07724944577;2000.8496079431907;;;2149.46342869448;;scimark2
SOR (100x100);2534.633447022992;2191.589308293151;;;2363.1113776580714;;scimark2
Monte Carlo;998.3652371684021;991.4514116715247;857.2789438257239;864.5264396264921;927.9055080730357;;scimark2
Sparse matmult (N=1000, nz=5000);2861.053049662294;2680.88;2490.6795944505207;2528.84;2640.3631610282036;;scimark2
LU (100x100);7216.826458943983;6119.141104154081;;;6667.983781549032;;scimark2
FFT (N=1024);3490.91;3105.19;;;3298.05;;scimark2
SOR (100 x 100);3301.46;2949.68;;;3125.5699999999997;;scimark2
MonteCarlo;889.95;916.6;778.36;784.09;842.2500000000001;;scimark2
LU (M=100, N=100);10483.37;9333.48;;;9908.425;;scimark2
FFT (1048576);687.2592037934882;672.9356805158106;;;680.0974421546493;;scimark2
SOR (1000x1000);1999.2558991689068;1743.9472421052508;;;1871.6015706370788;;scimark2
Sparse matmult (N=100000, nz=1000000);3631.2059899714122;4029.43;3138.697444161864;3530.64;3582.4933585333188;;scimark2
LU (1000x1000);7892.464961672501;6971.6776902797155;;;7432.071325976109;;scimark2
FFT (N=1048576);733.38;675.21;;;704.2950000000001;;scimark2
SOR (1000 x 1000);2660.05;2299.33;;;2479.69;;scimark2
LU (M=1000, N=1000);7634.8;6539.54;;;7087.17;;scimark2
lscpu;0;0;;;0;;scimark2
proccpu;0;0;;;0;;scimark2
proccpu_mapping;0;0;;;0;;scimark2
cpu_vuln;0;0;;;0;;scimark2
gcc_version;0;0;;;0;;scimark2
glibc_version;0;0;;;0;;scimark2
End to End Runtime;411.01104974746704;419.5429825782776;;;415.2770161628723;;scimark2
